"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://unityverseacademy.com/blog/10/","419","140","2,993","41,664","Hard","","","","","","","","","","tr","a2526ce82e8e27e1433188afaaf3d996","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-yuz-yuze-ozel-ders-20-saat-1591/","720","170","4,235","29,811","Very Hard","","","","","","","","","","tr","eb75f9eb1ae8c9f549cdd806e58fbd7f","Indexable",""
"https://unityverseacademy.com/urun/adobe-photoshop-onlinecanli-egitim-779/","2896","645","4,490","7,604","Very Hard","","","","","","","","","","tr","e5762598bfce1a39bc122ca1d2b9ece8","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-online-1549/","3021","740","4,082","43,517","Hard","","","","","","","","","","tr","7a9a5f37943d7b5773bbcb1b89d12b5f","Indexable",""
"https://unityverseacademy.com/urun/fen-bilimleri-egitimi-ozel-ders-1430/","422","130","3,246","45,968","Hard","","","","","","","","","","tr","29d5f3d87563eaf868cf445db1f2267","Indexable",""
"https://unityverseacademy.com/os/kariyer-is-14/","251","83","3,024","55,463","Fairly Hard","","","","","","","","","","tr","49ae86e65cb48a8658c6a087527c5551","Indexable",""
"https://unityverseacademy.com/urun/3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-online-1614/","1694","339","4,997","27,069","Very Hard","","","","","","","","","","tr","fb9b7a03dc92202edcabab026973c234","Indexable",""
"https://unityverseacademy.com/urun/microsoft-office-egitimi-10-saat-1639/","334","114","2,930","54,925","Fairly Hard","","","","","","","","","","tr","3df8f7c443d43fe666ef4e6a12facd50","Indexable",""
"https://unityverseacademy.com/urun/cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-yuz-yuze-egitimi-1042/","3484","708","4,921","6,658","Very Hard","","","","","","","","","","tr","380b8672fa513dc338be92fc705e375","Non-Indexable","Canonicalised"
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-120-saat-1577/","2448","548","4,467","43,849","Hard","","","","","","","","","","tr","ad38452c2064fbb27b1a582dd924cc95","Indexable",""
"https://unityverseacademy.com/urun/yapay-zeka-destekli-unity-ile-oyun-gelistirme-egitimi-online-1682/","1413","322","4,388","35,097","Hard","","","","","","","","","","tr","e174139f2437c13e11c3b616b63c22db","Indexable",""
"https://unityverseacademy.com/urun/ic-mimarlik-ve-dekorasyon-egitimi-1132/","899","240","3,746","36,468","Hard","","","","","","","","","","tr","53d10c1870048553c024cb5dd6116cb3","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-oyun-gelistirme-150-saatlik-kapsamli-blueprintmufredati-online-1028/","2748","615","4,468","16,937","Very Hard","","","","","","","","","","tr","d48d7277d2db10aee6199c9d0b7b6ab3","Indexable",""
"https://unityverseacademy.com/urun/flutter-ile-mobil-uygulama-gelistirme-canli-online-egitimi-557/","3458","684","5,056","2,681","Very Hard","","","","","","","","","","tr","2f44d8f8c193f026151e8a5f2369baba","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-online-ozel-ders-1256/","2426","487","4,982","17,584","Very Hard","","","","","","","","","","tr","59a3d826ce46b23fd0498dfd6ed964ae","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-ozel-ders-1250/","314","105","2,990","61,812","Normal","","","","","","","","","","tr","4a620464fbd1551b55e3a0c4414097fa","Indexable",""
"https://unityverseacademy.com/urun/excel-kursu-temelden-ileri-seviyeye-10-saat-1662/","308","102","3,020","62,862","Normal","","","","","","","","","","tr","4b9f93b414ac8051acae348c34883220","Indexable",""
"https://unityverseacademy.com/urun/rhino-egitimi-40-saat-online-1507/","494","145","3,407","54,043","Fairly Hard","","","","","","","","","","tr","215bc87dcd7cf37e269a3c9447d529d3","Indexable",""
"https://unityverseacademy.com/urun/almanca-egitimi-ozel-ders-1440/","295","101","2,921","64,209","Normal","","","","","","","","","","tr","c3c4e9fe32bcc7462e03a82b07f6858","Indexable",""
"https://unityverseacademy.com/urun/autocad-elektrik-tesisat-projeleri-egitimi-yapi-denetim-odakli-1637/","923","241","3,830","33,931","Hard","","","","","","","","","","tr","26d5511e152ea3629eba78029191eae0","Indexable",""
"https://unityverseacademy.com/urun/gelismis-autocad-elektrik-projeciligi-egitimi-yapi-denetim-odakli-uygulamali-1635/","989","242","4,087","31,434","Hard","","","","","","","","","","tr","cf82cb15a7dab98af786ad494897a43f","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-5-gorsellestirme-ve-animasyon-yuz-yuze-egitim-1032/","1793","393","4,562","6,062","Very Hard","","","","","","","","","","tr","a88eaff67b2060eb8503ecd85b386080","Indexable",""
